Ciudad;Año;Mes;PM2.5;PM10;NO2;SO2;O3;Temperatura;Humedad;Indice_AQI
Pereira;2018;12;5.503.210.846.775.980;7.782.569.914.241.740;17.034.744.248.396.500;10.154.259.742.552.300;4.110.956.452.119.560;1.852.906.465.348.120;6.853.539.530.074.850;715.276.287.176.001
Pereira;2023;10;23.369.314.554.910.900;5.690.793.958.142.020;2.038.301.284.412.410;1.743.081.822.482.570;1.637.108.528.525.910;24.943.109.680.018.600;6.361.045.350.671.170;9.726.933.118.091.810
Bucaramanga;2023;10;2.456.285.584.060.750;6.576.178.813.045.030;3.142.400.422.547.110;1.0;5.0;21.985.728.780.841.500;58.666.333.802.510.400;18.048.815.758.946.300
Barranquilla;2020;7;32.610.071.337.359.700;5.580.314.681.110.550;825.083.602.081.779;9.018.975.515.884.470;3.339.064.380.890.990;17.134.624.304.948.000;65.985.640.920.464;11.484.407.841.317.400
Pereira;2016;1;6.176.838.333.280.370;7.074.184.683.872.910;20.449.912.542.788.600;459.809.831.717.279;4.548.114.975.220.060;28.941.386.513.727.400;7.493.458.374.715.560;1.063.095.629.233.750
Cali;2024;10;325.186.392.172.716;554.068.423.541.176;35.868.180.300.688.900;1.0;4.559.200.408.389.290;29.088.633.171.415.200;9.371.706.987.073.490;16.762.511.876.025.000
Cúcuta;2021;4;15.087.387.641.938.500;4.944.011.853.565.120;2.054.916.714.376.730;4.026.341.331.211.540;14.402.289.112.615.900;23.451.726.576.048.800;8.092.967.617.577.950;1.235.139.236.371.720
Medellín;2023;9;27.482.342.945.704.400;7.958.238.255.565.540;5.0;10.086.187.675.015.300;234.636.817.521.413;2.080.396.893.577.990;5.843.037.497.376.420;12.915.579.745.541.100
Medellín;2020;1;4.635.584.002.729.120;8.257.461.096.519.270;3.779.175.777.348.190;6.373.264.353.967.770;3.868.584.018.888.600;16.718.535.933.126.100;54.338.071.891.943.500;8.372.416.870.675.250
Manizales;2017;9;453.491.041.534.413;6.624.805.999.816.770;3.234.896.942.538.330;14.483.067.949.125.700;22.474.726.704.494.700;2.735.556.684.936.210;7.852.816.085.695.520;4.938.102.028.602.840
Santa Marta;2021;8;3.199.675.000.262.510;9.735.302.607.871.940;3.369.397.175.078.790;8.930.770.760.293.340;31.264.618.327.301.900;2.611.319.767.511.560;835.356.154.415.202;11.046.590.201.990.200
Barranquilla;2019;5;45.251.220.103.400.400;6.479.138.827.009.770;7.562.163.532.546.050;8.376.308.226.395.280;21.402.721.250.276.600;17.930.020.274.934.800;8.841.214.110.331.430;17.288.796.285.153.900
Santa Marta;2015;6;5.0;6.394.450.909.748.920;40.124.557.258.472.100;8.398.595.247.469.530;16.927.334.910.463.500;1.856.593.633.159.590;6.596.873.304.410.600;16.052.128.151.083.100
Pereira;2017;7;3.655.743.852.549.040;8.320.977.964.691.390;17.267.239.148.888.000;9.507.527.969.352.300;19.243.516.183.118.900;24.284.602.320.878.500;7.704.254.286.697.100;12.631.363.196.187.900
Cúcuta;2019;4;4.791.028.132.052.940;6.735.148.830.113.320;1.990.561.055.779.760;7.907.607.325.286.230;4.146.870.231.541.470;16.122.781.263.244.100;8.283.739.983.665.370;7.253.581.927.900.040
Manizales;2021;6;22.507.050.872.681.900;7.169.595.458.052.280;17.972.228.340.079.900;5.743.731.512.179.180;30.165.393.175.570.400;18.871.567.881.253.000;49.734.111.255.813.000;3.797.463.942.038.990
Cartagena;2017;7;2.245.492.195.255.560;19.591.230.587.618.600;3.446.937.181.955.200;1.494.592.441.988.010;4.526.257.966.086.660;1.679.717.167.513.680;7.416.657.277.244.500;6.711.010.870.996.880
Pereira;2020;11;700.327.770.854.787;703.341.476.947.595;23.202.016.474.947.000;6.879.524.748.055.270;36.245.048.339.453.000;1.695.832.995.182.820;8.356.520.912.299.640;1.087.084.639.805.370
Barranquilla;2019;6;5.884.843.392.216.040;334.560.812.505.748;29.817.410.325.876.200;808.236.691.826.907;49.277.582.777.771.300;18.399.677.529.011.400;7.765.587.168.113.920;811.595.530.143.485
Medellín;2015;11;24.197.690.344.676.500;4.558.098.858.002.250;2.575.901.022.884.360;12.147.025.400.451.500;3.981.681.831.550.480;26.530.020.772.527.700;6.879.029.997.463.320;14.008.222.738.273.500
Bucaramanga;2024;12;3.861.564.916.793.160;432.935.492.248.899;24.049.579.963.070.700;11.593.706.230.786.200;39.112.089.962.960.400;13.227.267.598.298.100;100.0;404.324.770.661.968
Cúcuta;2020;6;44.058.755.622.250.600;4.914.833.692.932.340;15.532.159.362.538.000;5.532.809.688.269.750;28.554.145.216.371.800;24.167.421.399.894.800;9.895.778.001.319.620;9.484.965.743.699.860
Bogotá;2022;2;57.681.019.237.121.700;59.022.922.807.354.900;43.121.405.873.077.600;13.774.909.720.553.700;661.104.789.179.598;23.289.736.664.050.900;7.014.093.617.014.460;693.324.578.707.753
Santa Marta;2015;5;3.269.153.339.021.540;60.270.147.689.090.200;10.366.063.714.947.700;12.688.351.699.192.000;31.352.378.638.734.400;26.841.718.820.424.600;6.715.409.808.973.420;13.965.150.241.778.300
Manizales;2016;3;2.690.855.309.332.370;832.855.040.851.425;29.122.539.740.346.800;1.088.987.417.093.620;6.318.919.570.489.430;23.285.244.935.652.400;8.050.417.972.303.940;12.170.443.890.762.200
Santa Marta;2018;7;375.960.147.285.583;7.444.775.628.269.390;2.876.656.592.107.270;7.843.415.747.092.540;332.164.024.753.676;20.105.803.376.669.300;6.913.706.753.836.570;6.675.977.758.573.480
Cúcuta;2016;4;54.261.204.148.134.300;31.978.511.423.640.200;3.654.356.286.152.420;7.966.346.547.392.950;1.821.249.308.115.080;17.923.451.372.800.600;8.907.313.612.918.880;13.416.838.884.889.700
Santa Marta;2023;1;32.447.412.028.988.200;7.166.589.275.093.610;3.888.090.032.379.270;8.991.014.484.991.950;4.220.425.825.921.930;26.952.058.369.547.200;5.099.119.881.072.800;3.508.946.192.058.100
Cúcuta;2024;12;20.676.963.776.238.800;7.636.510.493.166.850;23.626.114.005.832.200;3.840.840.294.361.170;3.870.980.109.817.120;24.484.740.421.276.400;6.638.950.528.184.220;28.540.201.465.642.800
Santa Marta;2022;12;11.888.632.875.269.500;63.428.669.674.940.800;3.030.394.305.924.750;9.803.657.757.015.210;2.770.183.620.080.810;19.534.321.705.918.900;8.027.869.056.056.580;6.459.319.352.803.510
Cali;2022;6;1.668.053.923.092.160;6.878.228.046.186.590;426.487.371.045.251;14.460.510.202.234.900;1.934.528.383.868.200;26.544.558.620.833.300;850.562.237.221.937;2.068.395.818.763.900
Cartagena;2018;6;4.796.587.246.109.990;7.380.620.250.794.110;24.348.232.330.777.400;14.381.855.949.170.100;31.757.108.720.649.600;1.977.060.892.396.940;4.778.623.441.412.100;954.974.640.051.804
Pereira;2019;7;30.190.632.855.397.800;852.919.919.527.116;14.335.665.249.348.200;8.095.741.143.617.730;2.230.519.430.571.530;2.199.529.067.253.000;5.568.905.616.798.170;9.676.847.795.742.100
Pereira;2018;11;25.887.186.351.189.300;3.850.240.025.074.530;21.155.318.873.005.700;15.320.416.363.627.600;3.945.364.791.340.600;18.977.581.457.276.800;448.561.086.850.645;837.798.523.425.104
Barranquilla;2023;8;24.260.491.652.240.800;6.511.365.922.720.700;11.953.540.013.855.300;19.529.522.772.647.200;3.667.218.857.109.650;24.669.209.522.001.100;56.902.323.290.351.100;12.155.662.774.304.100
Bogotá;2016;3;36.275.687.903.002.700;10.016.672.196.115.400;28.718.168.109.947.200;8.418.962.323.685.860;6.523.159.910.992.120;17.029.043.249.050.600;5.084.178.330.050.060;7.106.433.122.474.380
Bogotá;2022;6;31.408.173.593.516.200;9.833.322.616.595.910;3.564.456.208.140.630;13.457.573.532.160.800;246.586.255.361.889;20.507.056.559.669.200;7.808.696.646.944.490;4.809.456.007.940.450
Barranquilla;2016;10;30.903.017.844.211.200;870.187.385.555.156;23.789.585.079.324.600;1.0;2.635.889.245.818.420;18.727.231.083.744.400;7.343.506.828.435.970;6.811.072.944.385.300
Bucaramanga;2015;2;5.523.985.891.716.100;8.073.649.367.911.350;8.790.399.505.463.590;37.092.663.590.900.400;2.814.269.191.275.870;23.318.559.808.310.000;6.769.256.331.078.610;5.118.495.962.917.130
Pereira;2024;9;58.070.244.227.924.500;10.309.269.496.804.100;35.216.508.350.576.700;10.455.605.146.667.600;28.668.173.588.747.000;23.942.439.591.205.100;7.039.142.202.195.020;7.552.974.564.809.270
Bucaramanga;2017;2;10.849.674.906.365.000;10.835.696.003.213.300;7.237.010.384.342.210;4.966.334.687.408.050;4.232.494.725.553.770;16.479.195.364.541.600;8.791.359.353.360.710;12.384.069.321.778.000
Cúcuta;2023;3;3.991.389.096.714.430;6.741.840.023.906.290;9.540.452.220.769.580;2.019.601.022.361.220;2.668.385.225.925.440;24.032.156.944.123.700;5.436.596.370.516.060;2.974.327.078.152.100
Cúcuta;2017;12;23.347.068.520.679.100;506.113.511.342.336;23.216.616.125.052.800;12.989.398.436.482.700;5.366.858.059.372.190;14.616.383.081.544.800;41.046.976.215.799.800;8.641.243.950.131.730
Medellín;2023;10;31.276.233.292.083.500;645.941.536.475.101;2.751.785.245.675.490;14.829.158.234.290.600;3.698.730.131.670.840;329.598.658.571.948;8.065.767.820.769.540;13.830.472.922.775.800
Santa Marta;2021;12;39.639.175.776.900.400;13.193.391.027.544.100;29.222.474.987.583.500;9.854.867.969.197.060;24.171.167.424.143.700;19.442.634.653.599.500;6.413.554.443.309.590;14.286.841.882.051.100
Bogotá;2024;12;3.180.920.124.603.620;3.861.287.314.549.610;24.338.604.479.535.200;4.983.959.900.681.730;21.105.051.780.231.900;2.724.630.332.484.470;5.472.347.209.954.950;7.271.897.274.520.690
Medellín;2015;2;384.568.982.094.145;6.058.921.720.941.160;4.260.043.765.134.850;7.405.948.589.125.590;4.249.046.632.090.140;23.005.831.962.829.100;7.831.016.968.234.590;18.852.895.549.677.200
Cartagena;2024;9;4.509.455.309.047.870;4.174.617.695.014.730;25.651.683.410.832.000;11.271.902.398.131.700;3.034.224.182.264.170;23.208.977.505.095.800;40.485.306.923.775;57.935.655.265.392.400
Barranquilla;2019;1;394.186.520.081.048;7.249.527.725.754.770;35.346.681.017.529.300;6.810.423.307.954.940;3.010.872.064.508.100;16.169.630.370.768.700;5.713.617.351.772.170;908.611.941.639.118
Barranquilla;2023;5;25.297.455.437.485.600;45.946.179.422.102.600;3.286.954.564.094.690;13.355.959.958.636;22.818.237.282.910.500;26.217.204.295.408.100;3.417.015.575.585.640;5.318.849.175.703.280
Cúcuta;2017;1;25.562.005.895.445.100;6.782.497.954.332.760;12.071.262.677.954.700;13.557.074.846.023.100;2.926.265.182.895.390;22.243.235.659.572;738.864.280.472.279;11.732.343.560.661.700
Pereira;2023;5;1.340.442.055.072.940;3.099.809.679.962.480;23.302.695.127.144.700;10.024.906.519.697.900;22.332.541.790.366.700;2.435.069.844.342.190;9.360.535.257.432.710;21.204.882.900.361.500
Bucaramanga;2019;8;22.191.195.537.189.200;82.352.413.301.693;4.623.320.513.281.010;1.0;4.634.053.747.471.190;21.546.428.385.774.400;61.402.319.856.066.500;1.737.496.412.066.640
Bogotá;2023;8;6.443.102.542.847.790;944.469.051.293.595;19.956.491.460.597.400;18.573.924.668.329.700;3.860.472.182.706.470;22.650.215.314.583.100;5.812.683.680.320.470;1.338.557.507.013.260
Medellín;2024;11;23.119.946.388.571.300;6.232.112.755.873.080;18.253.794.756.433.000;8.936.635.716.552.410;2.790.277.392.839.070;17.564.142.028.841.100;967.683.058.981.628;757.003.826.043.993
Bucaramanga;2020;8;170.993.178.133.427;6.729.739.985.848.590;2.670.575.581.477.020;2.354.638.324.235.510;27.726.383.003.367.200;21.235.544.615.846.300;794.115.287.547.788;9.328.268.085.134.540
Medellín;2023;2;397.989.179.276.716;6.673.185.538.537.370;2.031.480.070.739.940;13.262.678.481.760.900;3.110.609.001.887.060;19.900.553.958.403.200;100.0;14.464.185.544.804.500
Santa Marta;2021;8;333.445.286.106.221;736.182.135.045.005;17.062.954.204.977.600;8.950.224.616.339.710;29.933.517.133.534.400;18.472.144.011.219.400;7.241.204.114.541.060;12.998.025.076.964.100
Cartagena;2021;12;32.066.101.447.261.600;6.923.660.826.067.140;20.167.166.057.024.100;12.239.109.382.490.000;1.851.676.584.828.990;22.672.628.698.474.500;7.339.955.789.851.210;10.331.669.559.004.700
Cartagena;2022;5;5.613.568.949.618.130;8.536.233.904.861.380;39.320.096.713.686.200;1.0;7.190.710.459.380.210;23.816.934.779.092.500;9.167.244.266.284.270;10.567.649.635.414.000
Bucaramanga;2021;1;4.323.690.013.337.540;9.466.078.266.901.890;23.633.813.085.224.200;15.130.712.016.179.800;20.427.592.002.707.600;23.253.860.048.649.200;677.705.775.479.331;14.222.803.281.585.200
Bucaramanga;2023;7;2.705.010.602.444.780;53.718.575.550.156.300;1.171.924.967.245.280;2.283.470.618.764.730;28.457.790.112.019.600;2.148.869.602.581.760;7.370.794.026.872.120;15.213.521.088.574.100
Bucaramanga;2023;6;286.328.612.361.233;63.813.430.144.514.000;9.882.534.619.118.350;1.0;2.114.600.162.739.010;24.055.545.275.151.200;33.680.518.944.403.000;3.997.048.473.124.880
Medellín;2020;5;27.461.202.291.414.700;880.323.889.784.949;47.068.049.320.544.600;8.562.954.950.871.460;3.983.205.636.474.680;23.210.821.059.908.800;9.606.555.734.784.430;10.908.118.879.133.900
Santa Marta;2021;1;4.812.109.432.370.380;41.566.619.038.819.300;22.766.656.305.658.900;9.473.309.386.042.360;2.725.016.236.919.090;22.487.636.022.474.800;7.586.311.222.206.520;12.312.692.917.252.900
Cali;2016;1;30.377.785.558.202.900;30.585.574.363.088.600;29.345.785.009.654.100;1.437.614.314.581.530;5.248.288.290.034.340;2.283.075.509.984.470;6.838.935.850.493.200;7.871.375.109.208.210
Bucaramanga;2023;6;8.102.697.463.187.740;7.452.631.905.796.950;17.286.227.736.603.900;2.052.987.837.082.760;2.326.206.890.125.020;2.791.501.494.883.960;8.361.017.511.818.210;15.116.082.904.286.200
Pereira;2015;10;3.427.520.481.898.480;7.992.692.822.140.980;28.209.859.692.714.100;11.914.410.612.977.800;31.688.601.584.418.600;1.597.463.219.298.670;5.227.808.369.927.420;884.591.705.590.701
Bogotá;2015;12;11.944.609.983.081.000;5.555.399.624.092.810;3.959.329.651.601.530;20.708.959.121.077.600;26.533.658.925.962.500;20.407.019.150.910.500;61.729.321.629.030.500;15.227.160.329.327.800
Bogotá;2017;7;6.776.345.902.632.350;584.269.789.175.909;18.477.368.162.562.400;10.852.162.384.423.300;3.527.733.669.281.780;2.369.087.304.311.430;7.830.003.359.942.460;8.526.630.596.466.010
Medellín;2020;10;20.514.981.292.291.500;54.796.153.565.182.000;29.585.867.799.485.800;1.225.711.909.398.110;4.278.901.354.796.450;1.408.632.048.758.660;7.066.039.242.117.280;11.037.498.683.571.800
Bucaramanga;2019;10;3.257.202.851.963.400;5.266.149.521.311.130;10.942.537.241.096.100;11.641.177.830.801.200;3.729.937.150.712.510;2.891.292.241.663.030;7.669.947.297.761.190;10.949.047.131.054.700
Cúcuta;2016;1;3.887.304.102.051.700;83.869.916.412.092;45.228.661.183.667.900;1.610.149.891.502.540;5.630.444.766.407.300;23.274.089.378.622.400;7.373.955.676.261.390;16.650.506.803.163.900
Barranquilla;2023;9;3.067.012.758.981.150;46.390.030.260.047.200;27.685.359.302.445.700;7.888.394.709.448.980;3.599.833.932.567.440;26.784.508.822.118.700;7.945.814.824.394.520;12.963.988.133.717.700
Cali;2024;4;3.064.954.397.800.710;6.468.954.277.133.300;2.087.206.155.647.700;14.091.433.793.807.500;1.786.946.229.262.750;27.598.809.392.774.400;5.018.796.457.315.680;8.169.418.796.652.540
Pereira;2018;5;4.132.740.929.241.310;51.893.276.649.702.900;22.021.258.767.138.300;38.460.169.687.178.600;26.282.769.859.004.600;24.062.264.644.553.200;8.917.217.203.258.230;8.910.981.546.622.610
Santa Marta;2018;2;57.893.239.381.944.100;40.894.220.481.975.600;19.899.618.254.856.600;8.577.479.476.742.950;3.827.195.024.204.800;10.837.031.472.779.700;6.274.170.618.821.150;889.532.303.943.958
Cúcuta;2019;12;4.651.263.622.725.940;8.740.356.349.493.540;2.041.094.835.876.500;6.816.281.885.305.950;16.562.869.099.019.500;2.273.847.110.865.100;7.086.598.693.773.210;10.073.989.681.356.600
Cartagena;2022;10;5.717.770.817.860.310;59.603.495.556.529.200;5.0;10.439.807.793.089.700;438.713.760.898.206;23.059.434.567.642.900;6.098.836.336.710.750;62.217.956.444.869.200
Cúcuta;2024;8;1.930.071.337.859.740;7.376.880.160.841.510;24.020.342.679.032.400;8.419.601.252.981.090;25.759.369.205.385.200;1.656.566.622.214.290;6.568.892.168.870.550;9.674.673.724.046.240
Medellín;2018;2;3.976.043.949.883.040;39.838.482.403.979.700;23.601.213.193.942.800;15.660.668.462.284.800;56.051.248.475.017.300;13.051.632.716.235.900;7.343.640.904.093.110;1.547.229.894.151.350
Cali;2019;3;3.732.869.078.087.410;5.516.121.092.487.040;29.886.615.372.604.700;5.606.659.524.141.780;30.824.133.909.525.100;24.308.346.514.006.700;8.102.753.071.084.850;15.294.600.257.499.400
Manizales;2018;12;4.026.636.937.515.100;8.512.175.761.390.010;19.768.562.535.584.700;13.434.203.209.449.300;5.046.411.291.182.120;15.754.048.313.910.300;8.351.846.629.291.560;3.740.597.449.649.510
Manizales;2020;9;5.564.347.955.953.350;1.217.454.291.169.060;17.289.636.858.589.700;32.135.809.014.422.100;4.437.215.069.440.210;3.230.708.604.483.390;7.648.766.928.741.570;31.072.190.776.356.500
Bucaramanga;2017;2;3.168.816.275.311.910;3.047.567.871.219.370;2.492.225.055.547.020;14.970.840.231.506.500;22.666.739.015.346.000;2.331.568.640.906.570;61.063.073.339.683.600;7.627.473.776.641.700
Bucaramanga;2022;6;28.917.449.501.688.600;6.597.784.409.421.140;8.876.318.819.095.160;515.221.328.341.889;14.379.711.268.397.700;28.757.558.587.524.500;7.554.169.671.432.380;28.835.812.876.334.700
Medellín;2020;12;4.300.971.196.127.990;7.824.561.196.287;26.434.231.875.345.800;11.989.222.077.603.500;3.136.352.833.485.050;22.155.816.996.838.900;736.043.401.989.659;4.946.449.845.300.170
Santa Marta;2024;4;832.695.908.651.229;57.677.996.935.214.300;6.381.807.404.782.790;85.260.624.837.596;230.082.825.777.339;25.757.694.139.881.400;7.088.597.672.872.760;11.404.835.658.668.500
Bucaramanga;2019;7;31.447.219.263.167.300;8.699.043.973.988.240;3.620.818.648.830.790;14.121.220.273.766.200;48.956.625.361.044.000;22.266.319.656.148.500;7.801.334.958.935.130;9.848.467.887.465.280
Barranquilla;2016;6;3.298.703.466.071.820;5.266.534.658.679.370;31.842.699.556.607.700;8.846.171.474.416.940;27.037.689.939.928.500;27.027.864.651.878.300;50.863.636.448.757.300;31.162.463.959.239.800
Cali;2024;10;21.194.620.755.396.100;7.307.695.320.433.280;15.738.141.235.759.800;2.382.174.258.058.560;2.639.515.249.777.470;11.808.340.492.323.200;3.959.620.104.443.990;1.468.013.187.205.480
Medellín;2024;9;5.085.588.517.034.860;5.955.856.191.003.280;3.161.138.013.338.030;19.490.585.079.092.500;13.249.218.471.155.700;26.440.739.219.447.100;878.499.883.223.292;8.312.156.044.121.420
Bogotá;2021;9;1.906.639.523.985.070;9.438.862.165.909.540;26.115.142.242.538.800;8.423.949.097.971.530;35.030.604.156.957.200;25.343.820.804.671.000;6.802.939.314.825.660;7.926.888.798.583.450
Cartagena;2016;10;3.296.190.427.454.300;5.647.270.993.928.780;14.909.897.689.151.400;773.932.705.452.507;15.909.332.616.638.000;21.229.241.709.584.800;7.623.892.763.175.960;1.406.622.326.478.710
Medellín;2015;4;39.397.358.379.844.500;6.296.252.407.426.960;5.0;25.661.630.754.042.300;35.309.242.954.568.500;19.954.180.576.676.000;5.698.651.499.611.820;11.643.517.124.685.000
Medellín;2021;1;5.530.177.342.214.170;889.137.807.499.431;28.164.356.834.264.500;4.605.745.193.357.050;3.696.110.071.797.600;2.050.448.874.745.110;8.893.336.318.003.190;9.830.316.992.696.260
Manizales;2019;2;348.416.534.767.872;4.943.922.681.814.270;1.705.718.152.864.960;9.724.882.260.408.250;21.003.898.656.307.600;23.413.834.841.909.900;7.525.118.825.823.480;8.021.648.049.868.960
Pereira;2015;8;49.042.303.911.923.100;7.137.500.113.527.140;35.949.695.696.960.700;10.112.244.598.527.100;41.478.959.172.212.500;2.807.019.682.327.980;6.730.723.603.820.810;12.278.483.143.132.400
Santa Marta;2018;10;4.550.893.095.915.690;3.354.931.312.626.790;2.514.033.733.881.850;9.988.310.510.927.120;2.670.149.472.850.510;1.932.905.396.111.240;742.868.757.453.593;8.268.749.856.022.250
Pereira;2018;8;36.851.863.342.537.100;4.824.133.082.741.850;1.800.417.303.502.680;1.306.441.397.347.360;12.345.075.649.149.300;13.491.164.544.205.900;438.744.909.153.338;908.652.904.109.609
Barranquilla;2024;2;18.657.298.875.898.100;7.764.262.551.781.600;4.297.838.733.090.470;12.483.012.048.379.700;48.543.448.083.764.300;3.442.290.492.122.530;7.559.693.496.048.540;52.940.170.976.561.500
Bogotá;2021;4;13.481.287.086.434.700;5.018.604.980.927.530;3.076.446.492.603.000;5.148.249.543.038.410;1.891.835.311.110.810;25.357.872.822.568.400;9.230.240.797.473.610;14.570.241.337.087.800
Manizales;2023;1;36.597.581.021.287.700;5.910.854.136.352.410;5.0;17.179.945.620.845.300;3.608.484.649.519.770;20.043.941.929.790.000;7.472.918.922.845.850;16.210.382.991.599.000
Bogotá;2016;7;26.859.546.891.460.700;7.986.172.804.095.870;20.136.082.312.091.300;2.720.174.787.826.890;3.510.953.368.856.690;27.944.233.594.985.200;7.279.214.514.276.050;10.847.572.885.700.600
Barranquilla;2015;4;4.878.891.637.521.930;58.416.277.177.061.300;11.159.110.079.875.700;1.029.732.963.687.730;34.670.216.087.092.100;2.666.846.950.907.550;652.445.314.646.862;8.055.406.766.475.630
Pereira;2016;11;46.187.847.771.478.600;8.645.684.146.432.710;17.002.020.622.796.900;1.0;3.446.234.299.116.160;24.461.411.868.349.400;8.624.142.422.492.980;13.741.798.974.481.900
Medellín;2021;8;32.230.835.083.444.200;7.431.325.574.972.120;2.355.267.601.081.460;1.0;18.357.748.361.279.900;19.614.741.540.027.500;8.846.513.965.870.960;1.235.460.370.374.500
Bucaramanga;2024;9;1.763.430.614.088.090;7.871.366.223.849.000;28.540.485.085.875.400;5.803.240.208.536.830;5.029.619.521.803.260;25.336.612.594.921.600;6.352.083.947.647.410;8.224.921.747.768.600
Bucaramanga;2020;12;426.610.332.441.091;9.481.931.197.477.060;27.613.657.421.135.700;6.508.949.588.314.850;4.147.498.980.240.760;2.744.779.411.846.350;7.537.970.287.059.670;1.460.457.348.824.280
Cúcuta;2018;9;19.730.758.307.972.700;7.639.646.125.228.130;3.577.873.076.564.800;17.328.632.064.947.100;357.006.807.750.048;13.399.636.338.545.700;7.348.321.654.631.070;8.302.172.575.978.420
Cartagena;2015;3;23.623.041.156.037.000;10.077.694.580.938.600;3.136.598.377.508.660;9.797.040.818.690.500;14.004.285.173.812.400;23.122.474.909.860.500;7.602.656.758.685.420;48.554.906.415.225.900
Santa Marta;2015;5;20.308.763.926.772.600;8.822.524.566.075.640;3.074.746.929.125.500;1.646.203.450.455.770;18.259.585.492.134.700;23.490.878.513.887.300;58.409.120.415.809.400;9.736.832.367.410.630
Barranquilla;2019;6;329.224.846.709.007;59.530.951.403.310.800;27.014.923.231.332.700;8.101.067.026.616.610;37.889.479.520.269.900;23.330.383.307.144.300;8.714.164.637.700.010;14.337.376.121.312.800
Cartagena;2015;6;5.255.288.501.105.840;9.586.296.150.042.540;37.867.988.527.259.000;13.030.425.914.401.600;5.955.790.659.638.190;22.230.918.082.580.800;7.847.827.671.733.100;10.411.073.480.593.700
Santa Marta;2021;10;3.492.438.694.664.700;752.773.204.180.589;21.837.234.568.090.800;6.372.623.415.405.490;3.406.444.631.928.440;27.930.365.376.769.500;8.803.608.035.462.050;5.309.461.284.268.990
Cartagena;2015;8;28.351.719.613.584.500;6.210.640.582.678.990;22.096.967.312.648.000;6.032.634.654.506.990;14.025.878.431.372.500;2.094.341.533.461.410;53.269.841.937.869.400;8.387.502.392.299.460
Pereira;2015;6;12.115.776.049.321.300;7.556.771.390.641.760;5.944.266.470.274.690;1.0;19.583.618.669.884.600;2.198.607.275.355.510;54.151.201.383.602;14.785.260.061.217.300
Santa Marta;2016;6;43.281.868.770.947.600;9.224.653.648.780.520;35.561.640.438.100.300;11.678.769.969.256.300;13.067.188.707.988.800;2.357.832.659.039.220;100.0;1.109.529.800.360.720
Pereira;2024;4;2.329.393.091.107.050;7.910.090.188.484.440;24.230.742.442.208.400;11.310.417.073.500.700;3.295.327.698.938.760;21.109.652.363.475.900;8.720.693.935.407.290;9.924.481.069.386.260
Medellín;2017;7;36.762.764.287.371.400;10.644.785.665.102.700;5.433.605.706.171.270;1.388.656.443.642.920;4.339.633.742.201.150;15.069.993.716.244.200;5.777.368.520.113.320;9.478.347.530.570.960
Manizales;2015;8;29.686.720.761.250.300;9.173.061.115.797.640;2.094.467.308.237.540;11.074.591.435.706.900;3.417.621.028.575.220;23.070.650.218.444.600;8.302.228.916.820.530;14.319.508.761.452.500
Pereira;2023;3;47.572.658.293.991.500;8.046.320.066.804.320;2.588.578.129.416.730;20.130.979.885.969.800;3.549.399.658.706.690;2.312.728.188.685.720;6.301.278.666.286.920;14.058.670.758.982.900
Bucaramanga;2024;7;3.264.145.411.957.170;4.947.863.834.517.680;30.465.049.536.084.100;1.088.013.818.338.750;3.201.550.675.385.850;20.174.174.592.922.700;44.519.357.111.546.200;4.395.286.452.279.590
Cartagena;2022;3;3.411.610.468.215.420;6.640.534.971.979.750;1.398.100.027.011.280;14.959.133.571.690.600;38.192.322.130.447.600;21.338.425.417.353.400;3.849.624.154.564.570;13.759.712.622.558.700
Cúcuta;2019;8;4.228.620.721.183.180;7.143.328.279.501.700;28.585.477.138.792.200;8.379.454.585.004.480;3.560.502.737.100.010;6.100.648.801.800.090;6.967.016.746.126.960;12.065.691.216.866.500
Cali;2016;1;6.660.410.273.394.770;8.393.263.002.435.490;25.346.614.320.571.800;54.576.498.284.930.500;5.0;2.804.203.024.667.060;9.341.201.735.245.130;163.719.433.307.041
Santa Marta;2019;1;4.832.670.395.537.830;8.274.666.082.544.380;21.963.118.103.231.600;13.588.475.850.933.100;40.875.680.851.939.700;26.505.150.879.303;9.282.082.144.428.720;9.723.474.013.820.210
Barranquilla;2020;6;33.670.908.404.770.800;7.339.080.820.436.570;36.726.039.587.430.000;9.554.260.060.898.290;3.961.382.354.353.080;15.310.844.097.587.400;8.890.217.432.452.840;14.540.930.871.158.100
Cúcuta;2015;10;35.047.969.859.229.300;7.240.699.830.754.340;15.962.512.820.893.400;14.160.215.229.648.100;25.652.246.032.099.100;1.862.266.377.486.210;8.245.016.659.823.960;11.875.731.906.712.000
Bucaramanga;2018;9;2.712.710.809.513.340;8.440.913.790.152.130;27.749.021.130.822.200;11.764.682.709.223.400;63.095.192.672.076.900;29.242.606.805.207.900;7.476.046.990.618.210;5.544.409.406.619.740
Pereira;2023;12;20.750.064.447.204.500;5.282.827.548.740.020;3.954.664.291.385.040;6.034.933.366.049.210;3.290.968.830.761.280;16.225.746.613.395.200;8.727.946.134.018.390;14.082.390.642.523.400
Manizales;2016;4;2.670.873.819.400.510;10.391.031.638.499.700;17.933.782.440.437.000;15.371.689.388.385.100;3.391.992.964.963.790;2.439.229.344.618.060;3.983.670.471.138.720;13.237.685.102.958.600
Medellín;2019;6;2.341.776.554.432.080;2.905.666.229.673.050;2.203.114.017.307.700;5.644.050.231.076.660;2.471.419.820.926.980;19.539.916.344.597.700;8.484.681.878.355.820;7.400.294.338.772.840
